sale_id,branch,city,customer_type,gender,product_name,product_category,unit_price,quantity,tax,total_price,reward_points
1,A,"New York",Member,Male,Shampoo,"Personal Care",5.50,3,1.16,17.66,1
2,B,"Los Angeles",Normal,Female,Notebook,Stationery,2.75,10,1.93,29.43,0
3,A,"New York",Member,Female,Apple,Fruits,1.20,15,1.26,19.26,1
4,A,Chicago,Normal,Male,Detergent,Household,7.80,5,2.73,41.73,0
5,B,"Los Angeles",Member,Female,"Orange Juice",Beverages,3.50,7,1.72,26.22,2
6,A,Chicago,Normal,Male,Shampoo,Stationery,11.24,9,7.08,108.24,0
7,A,Chicago,Normal,Male,Shampoo,"Personal Care",10.71,1,0.75,11.46,0
8,B,"Los Angeles",Normal,Female,Shampoo,Household,18.23,9,11.48,175.55,0
9,A,Chicago,Member,Female,Apple,Fruits,14.15,20,19.81,302.81,30
10,B,"Los Angeles",Member,Male,Shampoo,Fruits,18.42,19,24.50,374.48,37
11,A,Chicago,Normal,Male,Detergent,Beverages,9.32,7,4.57,69.81,0
12,B,"Los Angeles",Member,Male,"Orange Juice",Household,6.89,12,5.79,88.47,8
13,A,"New York",Normal,Female,"Orange Juice",Household,3.29,4,0.92,14.08,0
14,B,"Los Angeles",Member,Female,Apple,Fruits,8.81,5,3.08,47.13,4
15,B,"Los Angeles",Normal,Female,Apple,Beverages,19.48,3,4.09,62.53,0
16,B,"Los Angeles",Normal,Male,Notebook,Stationery,5.55,8,3.11,47.51,0
17,B,"Los Angeles",Member,Female,Apple,"Personal Care",2.13,2,0.30,4.56,0
18,B,"Los Angeles",Normal,Male,Notebook,Fruits,13.26,15,13.92,212.82,0
19,A,"New York",Member,Male,Apple,Beverages,19.59,2,2.74,41.92,4
20,A,Chicago,Normal,Male,Detergent,"Personal Care",6.98,8,3.91,59.75,0
21,B,"Los Angeles",Normal,Female,Shampoo,"Personal Care",4.36,11,3.36,51.32,0
22,B,"Los Angeles",Normal,Male,"Orange Juice",Beverages,6.80,1,0.48,7.28,0
23,A,"New York",Member,Female,Shampoo,Beverages,1.95,16,2.18,33.38,3
24,A,Chicago,Normal,Male,Apple,Fruits,19.05,2,2.67,40.77,0
25,B,"Los Angeles",Member,Male,Detergent,Beverages,11.33,18,14.28,218.22,21
26,B,"Los Angeles",Normal,Male,Notebook,Fruits,13.94,16,15.61,238.65,0
27,A,"New York",Member,Male,Detergent,Household,9.55,2,1.34,20.44,2
28,A,"New York",Member,Female,Detergent,"Personal Care",16.46,17,19.59,299.41,29
29,B,"Los Angeles",Member,Female,Shampoo,Stationery,12.30,17,14.64,223.74,22
30,A,Chicago,Member,Male,"Orange Juice","Personal Care",12.37,15,12.99,198.54,19
31,A,Chicago,Member,Male,Shampoo,Fruits,3.70,3,0.78,11.88,1
32,A,"New York",Member,Female,"Orange Juice",Stationery,5.39,3,1.13,17.30,1
33,B,"Los Angeles",Normal,Male,Notebook,Stationery,6.94,17,8.26,126.24,0
34,B,"Los Angeles",Normal,Male,"Orange Juice",Household,8.13,9,5.12,78.29,0
35,A,"New York",Member,Male,Apple,"Personal Care",13.42,2,1.88,28.72,2
36,A,"New York",Member,Male,Detergent,"Personal Care",13.14,15,13.80,210.90,21
37,B,"Los Angeles",Member,Male,Shampoo,Fruits,11.14,16,12.48,190.72,19
38,B,"Los Angeles",Member,Female,Notebook,Beverages,5.42,14,5.31,81.19,8
39,A,"New York",Member,Female,Notebook,Beverages,15.34,15,16.11,246.21,24
40,A,"New York",Normal,Female,Apple,Fruits,1.17,11,0.90,13.77,0
41,A,"New York",Member,Female,Notebook,Household,10.80,10,7.56,115.56,11
42,A,"New York",Normal,Male,Apple,Household,10.98,12,9.22,140.98,0
43,A,"New York",Normal,Female,Notebook,Fruits,4.17,2,0.58,8.92,0
44,A,Chicago,Member,Male,Detergent,Fruits,20.13,2,2.82,43.08,4
45,B,"Los Angeles",Member,Female,Shampoo,Household,15.73,8,8.81,134.65,13
46,A,"New York",Member,Male,Shampoo,Fruits,15.95,8,8.93,136.53,13
47,A,"New York",Normal,Male,Shampoo,Stationery,1.28,8,0.72,10.96,0
48,B,"Los Angeles",Normal,Female,Detergent,"Personal Care",9.98,20,13.97,213.57,0
49,B,"Los Angeles",Normal,Female,Detergent,Fruits,6.31,2,0.88,13.50,0
50,A,Chicago,Normal,Female,Apple,Stationery,16.50,19,21.95,335.45,0
51,A,Chicago,Normal,Male,Detergent,Stationery,17.02,19,22.64,346.02,0
52,A,Chicago,Member,Male,"Orange Juice",Fruits,11.16,5,3.91,59.71,5
53,B,"Los Angeles",Normal,Female,"Orange Juice",Fruits,19.06,1,1.33,20.39,0
54,A,"New York",Normal,Female,"Orange Juice",Fruits,4.68,14,4.59,70.11,0
55,B,"Los Angeles",Member,Male,Notebook,Household,15.57,13,14.17,216.58,21
56,A,Chicago,Member,Male,Shampoo,"Personal Care",19.86,10,13.90,212.50,21
57,A,Chicago,Member,Female,"Orange Juice",Beverages,20.41,19,27.15,414.94,41
58,A,Chicago,Normal,Male,Notebook,Fruits,19.96,20,27.94,427.14,0
59,A,Chicago,Member,Male,Detergent,Stationery,15.48,20,21.67,331.27,33
60,A,Chicago,Member,Male,Notebook,Stationery,13.99,4,3.92,59.88,5
61,A,"New York",Member,Male,Detergent,Household,9.39,2,1.31,20.09,2
62,A,Chicago,Member,Male,"Orange Juice",Beverages,19.19,14,18.81,287.47,28
63,A,"New York",Member,Male,Notebook,Stationery,12.73,19,16.93,258.80,25
64,A,Chicago,Member,Female,Detergent,Household,11.33,10,7.93,121.23,12
65,A,"New York",Normal,Male,"Orange Juice",Household,8.78,12,7.38,112.74,0
66,A,"New York",Member,Male,Notebook,"Personal Care",10.25,2,1.44,21.94,2
67,B,"Los Angeles",Member,Male,Notebook,Stationery,10.47,8,5.86,89.62,8
68,A,"New York",Normal,Female,Detergent,Fruits,6.75,1,0.47,7.22,0
69,A,Chicago,Member,Male,Apple,"Personal Care",1.17,16,1.31,20.03,2
70,B,"Los Angeles",Normal,Female,Shampoo,Stationery,2.77,14,2.71,41.49,0
71,A,Chicago,Normal,Male,"Orange Juice",Stationery,12.83,2,1.80,27.46,0
72,A,"New York",Normal,Female,Apple,Fruits,14.21,11,10.94,167.25,0
73,A,Chicago,Normal,Male,Detergent,Fruits,7.27,20,10.18,155.58,0
74,A,"New York",Normal,Female,Shampoo,Stationery,20.27,2,2.84,43.38,0
75,A,"New York",Normal,Male,"Orange Juice",Fruits,8.62,11,6.64,101.46,0
76,A,"New York",Normal,Male,Shampoo,"Personal Care",19.14,8,10.72,163.84,0
77,B,"Los Angeles",Normal,Female,"Orange Juice",Stationery,10.16,10,7.11,108.71,0
78,A,Chicago,Normal,Male,Apple,Beverages,6.73,20,9.42,144.02,0
79,B,"Los Angeles",Normal,Female,Notebook,Beverages,14.18,11,10.92,166.90,0
80,A,"New York",Member,Male,Notebook,Stationery,16.60,16,18.59,284.19,28
81,A,Chicago,Normal,Female,"Orange Juice",Household,13.36,20,18.70,285.90,0
82,A,Chicago,Member,Male,"Orange Juice",Fruits,14.04,15,14.74,225.34,22
83,B,"Los Angeles",Normal,Male,"Orange Juice",Household,13.89,8,7.78,118.90,0
84,A,"New York",Member,Female,Notebook,Beverages,17.56,10,12.29,187.89,18
85,A,Chicago,Normal,Female,Detergent,Household,3.79,13,3.45,52.72,0
86,B,"Los Angeles",Normal,Male,"Orange Juice",Beverages,5.00,10,3.50,53.50,0
87,A,Chicago,Member,Female,Shampoo,Fruits,2.74,2,0.38,5.86,0
88,A,"New York",Normal,Female,"Orange Juice",Stationery,13.87,8,7.77,118.73,0
89,A,Chicago,Normal,Male,Detergent,Beverages,19.61,2,2.75,41.97,0
90,B,"Los Angeles",Normal,Male,Notebook,Household,10.71,10,7.50,114.60,0
91,A,Chicago,Member,Female,"Orange Juice",Household,18.57,3,3.90,59.61,5
92,B,"Los Angeles",Member,Male,Notebook,"Personal Care",19.10,2,2.67,40.87,4
93,A,"New York",Member,Female,Apple,Stationery,10.03,12,8.43,128.79,12
94,B,"Los Angeles",Member,Female,"Orange Juice",Fruits,5.65,9,3.56,54.41,5
95,B,"Los Angeles",Normal,Female,Shampoo,Stationery,18.04,9,11.37,173.73,0
96,A,"New York",Member,Male,Apple,Beverages,6.90,1,0.48,7.38,0
97,B,"Los Angeles",Member,Male,"Orange Juice",Beverages,18.78,17,22.35,341.61,34
98,B,"Los Angeles",Normal,Male,Notebook,"Personal Care",15.55,3,3.27,49.92,0
99,A,"New York",Normal,Male,Detergent,Fruits,15.25,17,18.15,277.40,0
100,A,Chicago,Member,Male,Notebook,Beverages,10.62,18,13.38,204.54,20
101,B,"Los Angeles",Member,Male,"Orange Juice",Household,4.24,20,5.94,90.74,9
102,A,"New York",Normal,Female,Notebook,Beverages,16.69,4,4.67,71.43,0
103,A,"New York",Normal,Male,"Orange Juice","Personal Care",8.89,9,5.60,85.61,0
104,A,"New York",Normal,Male,Shampoo,Beverages,18.24,18,22.98,351.30,0
105,B,"Los Angeles",Member,Female,"Orange Juice",Beverages,6.23,18,7.85,119.99,11
106,A,Chicago,Normal,Male,Apple,Household,1.02,2,0.14,2.18,0
107,A,"New York",Member,Female,Detergent,"Personal Care",4.50,6,1.89,28.89,2
108,B,"Los Angeles",Normal,Male,Detergent,Stationery,7.31,15,7.68,117.33,0
109,B,"Los Angeles",Normal,Male,"Orange Juice",Fruits,16.90,9,10.65,162.75,0
110,A,"New York",Member,Female,Detergent,Beverages,5.91,13,5.38,82.21,8
111,A,Chicago,Member,Female,Apple,Household,14.97,9,9.43,144.16,14
112,A,"New York",Member,Male,Apple,Beverages,10.04,9,6.33,96.69,9
113,A,Chicago,Member,Male,Apple,Beverages,20.89,3,4.39,67.06,6
114,A,Chicago,Member,Female,Detergent,Fruits,9.38,15,9.85,150.55,15
115,A,"New York",Normal,Male,"Orange Juice","Personal Care",4.77,11,3.67,56.14,0
116,A,"New York",Normal,Female,Apple,"Personal Care",7.01,19,9.32,142.51,0
117,A,Chicago,Member,Male,Shampoo,Stationery,12.65,18,15.94,243.64,24
118,B,"Los Angeles",Member,Female,Detergent,Fruits,5.42,16,6.07,92.79,9
119,A,Chicago,Normal,Female,Apple,Stationery,17.61,7,8.63,131.90,0
120,A,"New York",Normal,Male,"Orange Juice",Beverages,4.64,9,2.92,44.68,0
121,B,"Los Angeles",Member,Female,Notebook,"Personal Care",1.68,4,0.47,7.19,0
122,A,"New York",Normal,Female,Detergent,Household,3.20,12,2.69,41.09,0
123,A,Chicago,Normal,Male,Shampoo,"Personal Care",3.33,11,2.56,39.19,0
